City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,enewetak,11.3474,162.3373,28.67,69,29,4.83,MH,1724620580
188,paradip garh,20.3167,86.6167,26.43,84,98,4.01,IN,1724620581
189,callao,-12.0667,-77.15,17.16,77,75,4.63,PE,1724620344
190,lebu,-37.6167,-73.65,10.78,69,100,4.47,CL,1724620583
191,dudinka,69.4058,86.1778,9.93,84,87,0.34,RU,1724620587
192,kavieng,-2.5744,150.7967,26.71,82,100,4.25,PG,1724620588
193,marka,1.7159,44.7717,24.79,87,91,6.93,SO,1724620590
194,port saint john's,-31.6229,29.5448,17.57,83,82,4.08,ZA,1724620591
195,toliara,-23.35,43.6667,20.22,68,0,2.17,MG,1724620448
196,chonchi,-42.6128,-73.8092,7.84,96,100,3.55,CL,1724620593
197,saint-philippe,-21.3585,55.7679,19.19,73,94,6.95,RE,1724620594
198,zagan,51.6176,15.3149,16.49,82,99,1.83,PL,1724620596
199,nova sintra,14.8667,-24.7167,26.31,76,100,8.11,CV,1724620597
200,kodiak,57.79,-152.4072,15.73,44,0,10.8,US,1724620598
201,essaouira,31.5125,-9.77,24.72,78,0,4.63,MA,1724620599
202,tazacorte,28.629,-17.9293,23.54,88,20,5.14,ES,1724620600
203,deori khas,23.4,79.0167,23.01,92,100,1.99,IN,1724620602
204,villa rica,33.7321,-84.9191,31.3,45,0,0.45,US,1724620603
205,soio,-6.1349,12.3689,21.94,88,7,3.78,AO,1724620604
206,general acha,-37.377,-64.6043,13.24,33,41,7.69,AR,1724620605
207,weno,7.4515,151.8468,28.97,84,100,3.09,FM,1724620606
208,bonthe,7.5264,-12.505,25.2,89,83,4.15,SL,1724620609
209,olonkinbyen,70.9221,-8.7187,2.91,95,100,11.39,SJ,1724620610
210,tual,-5.6667,132.75,25.62,85,100,6.15,ID,1724620613
211,kuta,-8.7233,115.1723,25.97,89,40,5.66,ID,1724620614
212,junin de los andes,-39.9504,-71.0694,8.5,56,36,1.14,AR,1724620615
213,spanish wells,26.323,-81.7957,31.12,51,69,0.45,US,1724620616
214,cedeira,43.6797,-8.0209,18.87,72,3,8.55,ES,1724620617
215,san patricio,28.017,-97.5169,35.97,40,3,7.86,US,1724620619
216,acapulco de juarez,16.8634,-99.8901,31.9,66,40,6.17,MX,1724620564
217,alofi,-19.0595,-169.9187,23.94,94,75,5.66,NU,1724620621
218,timbuktu,16.7735,-3.0074,33.43,42,66,2.47,ML,1724620622
219,happy valley-goose bay,53.3168,-60.3315,29.17,37,75,1.03,CA,1724620624
220,namibe,-15.1961,12.1522,18.19,89,79,0.57,AO,1724620625
221,lebedyan',53.0194,39.1664,19.34,61,0,2.97,RU,1724620626
222,ta`u,-14.2336,-169.5144,26.29,86,97,9.13,AS,1724620627
223,phan rang-thap cham,11.5667,108.9833,24.49,84,100,0.98,VN,1724620628
224,kievka,50.2619,71.5514,12.69,77,84,3.51,KZ,1724620630
225,calbuco,-41.768,-73.1273,8.56,83,100,11.67,CL,1724620621
226,polyarnyy,69.1989,33.4478,14.25,79,100,11.95,RU,1724620632
227,baker city,44.7749,-117.8344,22.84,33,75,5.14,US,1724620568
228,lodja,-3.4833,23.4333,23.31,58,52,1.02,CD,1724620634
229,syracuse,37.0881,15.2792,27.15,75,0,4.04,IT,1724620550
230,dzhalagash,45.0833,64.6667,18.81,31,45,2.07,KZ,1724620638
231,astrakhan,46.3497,48.0408,20.93,52,0,2.0,RU,1724620639
232,aylmer,42.7668,-80.983,26.95,52,33,4.23,CA,1724620641
233,vorgashor,67.5833,63.95,11.18,86,26,2.24,RU,1724620642
234,altai,46.3722,96.2583,15.29,53,37,3.3,MN,1724620643
235,saudarkrokur,65.7461,-19.6394,4.59,96,100,3.04,IS,1724620644
236,anar darah,32.7587,61.654,27.95,20,0,5.63,AF,1724620645
